"EMM_ENTY_SRNO","EMM_MKT_SRNO","EMM_TRDNG_MTHD_SRNO","EMM_RCRD_SRNO","EMM_MKT_MAKING_TYPE_INDC","EMM_ELGBLT_FROM_DATE","EMM_ELGBLT_TO_DATE","EMM_MKT_MAKING_STATUS_INDC","EMM_CRTD_USER_ID","EMM_CRTD_DATE","EMM_UPDTD_USER_ID","EMM_UPDTD_DATE"
"100074","4","2","1","2","2007-2-26","2015-11-20","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"100079","4","2","1","2","2007-2-13","9998-12-31","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"100086","4","2","1","1","2008-1-15","9998-12-31","1","superuser","2008-1-14 16:10:45","haiqinwu","2015-4-29 18:18:31"
"100091","4","2","1","2","2007-2-14","2014-6-10","1","superuser","2007-11-9 19:18:09","shenlina","2014-6-10 9:19:25"
"100104","4","2","1","1","2004-7-22","9998-12-31","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"100327","4","2","1","1","2001-7-25","9998-12-31","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"100334","4","2","1","2","2007-12-26","9998-12-31","1","superuser","2007-12-25 16:23:25","superuser","2007-12-25 16:23:25"
"100365","4","2","1","2","2008-6-4","9998-12-31","1","superuser","2008-6-3 16:24:15","superuser","2008-6-3 16:24:15"
"100375","4","2","1","1","2001-7-25","9998-12-31","1","superuser","2007-11-9 19:18:09","mscdp","2014-8-18 10:52:00"
"100468","4","2","1","2","2008-4-1","2014-6-10","1","superuser","2008-3-31 15:35:49","shenlina","2014-6-10 9:21:50"
"100472","4","2","1","2","2007-1-29","9998-12-31","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"100495","4","2","1","2","2008-10-10","9998-12-31","1","superuser","2008-10-8 15:12:11","superuser","2008-10-8 15:12:11"
"100499","4","2","1","2","2008-8-29","9998-12-31","1","superuser","2008-8-28 15:02:29","superuser","2008-8-28 15:02:29"
"100505","4","2","1","2","2007-7-20","2014-6-10","1","superuser","2007-11-9 19:18:09","shenlina","2014-6-10 9:19:43"
"100654","4","2","1","2","2007-2-7","2014-6-10","1","superuser","2007-11-9 19:18:09","shenlina","2014-6-10 9:22:11"
"101179","4","2","1","2","2008-6-17","9998-12-31","1","superuser","2008-6-16 16:32:41","superuser","2008-6-16 16:32:41"
"101519","4","2","1","2","2009-3-30","9998-12-31","1","superuser","2009-3-25 15:30:11","superuser","2009-3-25 15:30:11"
"101619","4","2","1","2","2009-5-12","9998-12-31","1","superuser","2009-5-11 10:08:05","superuser","2009-5-11 10:08:05"
"101621","4","2","1","2","2007-1-22","9998-12-31","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"101747","4","2","1","2","2008-4-1","9998-12-31","1","superuser","2008-3-31 15:35:34","superuser","2008-3-31 15:35:34"
"101984","4","2","1","2","2009-3-13","2014-6-10","1","superuser","2009-3-12 10:23:55","shenlina","2014-6-10 9:20:01"
"102051","4","2","1","2","2008-6-16","9998-12-31","1","superuser","2008-6-13 16:41:53","superuser","2008-6-13 16:41:53"
"102262","4","2","1","2","2008-9-10","9998-12-31","1","superuser","2008-9-5 15:03:23","superuser","2008-9-5 15:03:23"
"102293","4","2","1","2","2007-12-14","2010-1-12","1","superuser","2007-12-13 15:42:12","shenlina","2010-1-21 16:37:19"
"102294","4","2","1","2","2007-12-3","9998-12-31","1","superuser","2007-11-30 16:37:08","superuser","2007-11-30 16:37:08"
"102332","4","2","1","2","2008-7-14","2014-6-10","1","superuser","2008-7-11 15:28:44","shenlina","2014-6-10 9:21:32"
"102353","4","2","1","2","2007-11-19","2008-5-19","1","superuser","2007-11-19 9:08:35","superuser","2008-5-28 9:18:44"
"102353","4","2","2","1","2008-5-20","9998-12-31","1","superuser","2008-5-28 9:18:44","superuser","2008-5-28 9:18:44"
"102503","4","2","1","2","2008-6-27","9998-12-31","1","superuser","2008-6-26 16:10:51","superuser","2008-6-26 16:10:51"
"102293","4","2","2","1","2010-1-13","9998-12-31","1","shenlina","2010-1-21 16:37:19","shenlina","2010-1-21 16:37:19"
"100653","4","2","1","2","2010-8-18","9998-12-31","1","shenlina","2010-8-17 14:21:39","mscgxh","2015-6-1 17:43:54"
"100082","4","2","1","2","2014-5-19","9998-12-31","1","shenlina","2014-5-19 14:37:26","shenlina","2014-5-19 14:37:26"
"100643","4","2","1","2","2011-2-11","9998-12-31","1","shenlina","2011-2-10 9:22:02","shenlina","2011-2-10 9:22:02"
"102330","4","2","1","2","2011-11-8","9998-12-31","1","shenlina","2011-11-8 9:01:46","shenlina","2011-11-8 9:01:46"
"101891","4","2","1","2","2014-4-2","9998-12-31","1","shenlina","2014-4-1 15:15:09","shenlina","2014-4-1 15:15:09"
"302456","4","2","1","2","2013-2-18","2014-6-10","1","shenlina","2014-6-12 16:50:02","shenlina","2014-6-12 16:50:02"
"300906","4","2","1","2","2010-12-9","2014-6-10","1","shenlina","2014-6-12 16:50:38","shenlina","2014-6-12 16:50:38"
"102418","4","2","1","2","2014-7-9","9998-12-31","1","xingyiming","2014-7-9 9:36:18","xingyiming","2014-7-9 9:36:18"
"101778","4","2","1","2","2014-7-31","9998-12-31","1","shenlina","2014-7-31 14:43:11","shenlina","2014-7-31 14:43:11"
"100058","4","2","1","2","2012-1-4","9998-12-31","1","shenlina","2012-1-4 9:17:29","shenlina","2012-1-4 9:17:29"
"101856","4","2","1","2","2013-7-29","2014-6-10","1","shenlina","2013-7-26 16:17:26","shenlina","2014-6-10 9:22:32"
"101929","4","2","1","2","2014-4-24","9998-12-31","1","shenlina","2014-4-24 14:54:33","shenlina","2014-4-24 14:54:33"
"102267","4","2","1","2","2014-7-17","9998-12-31","1","shenlina","2014-7-16 15:12:30","shenlina","2014-7-16 15:12:30"
"100147","4","2","1","2","2014-7-17","9998-12-31","1","shenlina","2014-7-16 15:12:47","shenlina","2014-7-16 15:12:47"
"400592","4","2","1","1","2014-11-13","9998-12-31","1","testchengting","2014-11-13 19:54:43","testchengting","2014-11-13 19:54:43"
"313222","4","2","1","2","2014-11-26","9998-12-31","1","3131","2014-11-26 15:17:46","3131","2014-11-27 13:47:20"
"102229","4","2","1","1","2014-11-11","9998-12-31","1","wangchaotest","2014-11-13 20:43:13","wangchaotest","2014-11-13 20:43:13"
"300756","4","2","1","1","2014-11-11","9998-12-31","1","wangchaotest","2014-11-13 20:53:22","wangchaotest","2014-11-13 20:53:22"
"313221","4","2","1","1","2014-11-26","9998-12-31","1","wtest17","2014-11-26 15:06:51","wtest17","2014-11-26 15:06:51"
"112233","4","2","1","1","2014-12-8","9998-12-31","1","wtest06","2014-12-8 17:15:08","wtest06","2014-12-8 17:15:08"
"901143","6","2","1","1","2015-1-2","9998-12-31","1","feicw1","2015-1-4 19:38:18","feicw1","2015-1-4 19:38:18"
"901144","6","2","1","1","2015-1-2","9998-12-31","1","feicw1","2015-1-4 19:38:42","feicw1","2015-1-4 19:38:42"
"101717","4","2","1","1","2015-1-12","9998-12-31","1","msczar","2015-1-12 13:39:12","msczar","2015-1-12 13:39:12"
"145541","4","2","1","1","2015-1-19","9998-12-31","1","3131","2015-1-19 15:01:48","3131","2015-1-19 15:01:48"
"125521","4","2","1","1","2015-1-19","9998-12-31","1","3131","2015-1-19 15:03:34","3131","2015-1-19 15:03:34"
"152352","4","2","1","1","2015-1-19","9998-12-31","1","3131","2015-1-19 15:05:06","3131","2015-1-19 15:05:06"
"120012","4","2","1","1","2015-1-19","9998-12-31","1","3131","2015-1-19 15:13:30","3131","2015-1-19 15:13:30"
"901163","4","2","1","1","2015-1-19","9998-12-31","1","3131","2015-1-19 15:15:02","3131","2015-1-19 15:15:02"
"901164","4","2","1","1","2015-1-19","9998-12-31","1","3131","2015-1-19 15:19:48","3131","2015-1-19 15:19:48"
"901173","4","2","1","1","2015-1-25","9998-12-31","1","mscldx","2015-1-25 10:07:13","mscldx","2015-1-25 10:07:13"
"901168","4","2","1","2","2015-1-23","9998-12-31","1","mscldx","2015-1-23 14:39:35","mscldx","2015-1-23 14:39:35"
"507547","4","2","1","1","2015-10-28","9998-12-31","1","cw001","2015-10-28 9:27:11","cw001","2015-10-28 9:27:11"
"901356","4","2","1","1","2015-10-28","9998-12-31","1","mscxyg","2015-10-28 14:31:48","mscxyg","2015-10-28 14:31:48"
"901175","4","2","1","1","2015-1-28","9998-12-31","1","mscqym","2015-1-28 10:05:10","mscqym","2015-1-28 10:05:10"
"901175","6","2","1","1","2015-1-28","9998-12-31","1","mscqym","2015-1-28 10:05:10","mscqym","2015-1-28 10:05:10"
"120302","4","2","1","1","2015-3-10","9998-12-31","1","qincai","2015-3-10 17:23:56","qincai","2015-3-10 17:23:56"
"555232","4","2","1","1","2015-3-10","9998-12-31","1","qincai","2015-3-10 17:26:43","qincai","2015-3-10 17:26:43"
"901190","4","2","1","1","2015-3-10","9998-12-31","1","CFETS","2015-3-10 18:38:38","CFETS","2015-3-10 18:38:38"
"901190","6","2","1","1","2015-3-13","9998-12-31","1","testMSC01","2015-3-13 14:20:01","testMSC01","2015-3-13 14:20:01"
"901192","6","2","1","1","2015-3-13","9998-12-31","1","testMSC01","2015-3-13 14:20:39","testMSC01","2015-3-13 14:20:39"
"901211","4","2","1","2","2015-3-20","9998-12-31","1","msclyf","2015-3-22 12:43:32","msclyf","2015-3-22 12:43:32"
"901165","4","2","1","1","2015-4-21","9998-12-31","1","mscyqp","2015-4-21 15:42:22","mscyqp","2015-4-21 15:42:22"
"901166","4","2","1","1","2015-4-21","9998-12-31","1","mscyqp","2015-4-21 15:42:32","mscyqp","2015-4-21 15:42:32"
"901223","4","2","1","1","2015-4-21","9998-12-31","1","msclys","2015-4-21 16:51:29","msclys","2015-4-21 16:51:29"
"901224","4","2","1","1","2015-4-21","9998-12-31","1","msclys","2015-4-21 16:54:29","msclys","2015-4-22 15:43:33"
"901225","4","2","1","1","2015-4-22","2015-5-6","1","mscyzs","2015-4-22 15:46:14","mscyzs","2015-4-22 15:46:14"
"901226","4","2","1","1","2015-4-22","9998-12-31","1","mscyzs","2015-4-22 15:47:26","mscyzs","2015-4-22 15:47:26"
"901227","4","2","1","1","2015-4-22","9998-12-31","1","mscyzs","2015-4-22 15:48:39","mscyzs","2015-4-22 15:48:39"
"901210","4","2","1","1","2015-4-24","9998-12-31","1","smileyao","2015-4-24 11:06:04","smileyao","2015-4-24 11:06:04"
"100000","4","2","1","1","2015-4-24","9998-12-31","1","haiqinwu","2015-4-24 16:23:14","haiqinwu","2015-4-24 16:23:14"
"901225","6","2","1","1","2015-4-25","2015-5-6","1","mscyzs","2015-4-25 14:17:18","mscyzs","2015-4-25 14:17:18"
"400732","4","2","1","1","2015-11-23","9998-12-31","1","wanghc","2015-11-23 16:38:29","wanghc","2015-11-23 16:38:29"
"901265","4","2","1","1","2015-5-12","9998-12-31","1","huyan1","2015-5-12 13:51:10","huyan1","2015-5-12 13:51:10"
"305704","4","2","1","1","2015-5-13","9998-12-31","1","msczzg","2015-5-13 15:31:10","msczzg","2015-5-13 15:31:10"
"305705","4","2","1","1","2015-5-13","9998-12-31","1","msczzg","2015-5-13 15:31:47","msczzg","2015-5-13 15:31:47"
